1.1 Mener une recherche et une veille d’information,1.2 Gérer des données,1.3 Traiter des données,2.1 Interagir,2.2 Partager et publier,2.3 Collaborer,2.4 S'insérer dans le monde numérique,3.1 Développer des documents textuels,3.2 Développer des documents multimedia,3.3 Adapter les documents à leur finalité,3.4 Programmer,4.1 Sécuriser l'environnement numérique,4.2 Protéger les données personnelles et la vie privée,"4.3 Protéger la santé, le bien-être et l'environnement",5.1 Résoudre des problèmes techniques,5.2 Construire un environnement numérique
5,5,4,4,5,4,5,5,3,2,4,3,4,4,5,4
2,3,3,4,3,3,2,2,3,1,3,2,2,3,3,2
3,4,4,4,4,2,2,2,3,3,4,3,3,3,4,4
4,4,3,3,3,3,2,2,3,3,3,3,4,3,3,3
3,4,1,5,3,3,4,2,3,3,3,3,4,3,5,3
4,4,4,5,4,4,3,5,5,4,5,4,4,5,5,5
3,4,3,3,3,4,3,3,4,2,4,2,3,3,4,3
4,3,4,4,5,4,5,4,5,3,4,3,4,5,5,4
5,5,3,4,4,3,4,3,4,4,4,4,4,3,5,4
4,4,3,3,3,3,3,3,5,3,4,3,4,4,5,4
4,4,3,4,4,5,5,2,4,4,4,3,4,4,5,4
5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5
4,5,3,3,5,3,5,3,5,3,4,3,3,4,4,4
3,3,3,3,3,4,2,2,3,3,3,3,3,3,3,2
4,4,5,4,4,5,5,3,5,4,4,3,4,5,5,5
4,4,4,4,5,4,4,3,5,4,4,3,5,4,5,4
4,3,3,3,4,3,3,2,3,3,3,4,4,3,4,3
4,3,3,4,5,5,4,3,4,4,4,3,3,4,5,4
3,4,4,4,4,4,4,2,3,2,4,4,4,4,4,4
4,5,4,4,4,4,3,2,5,4,4,3,4,4,4,5
3,3,2,4,4,4,2,2,3,3,4,3,3,3,3,3
3,3,2,3,3,3,2,2,4,2,3,3,3,3,3,2
2,4,3,3,3,2,3,2,3,2,3,3,2,3,3,3
3,3,2,3,3,4,2,2,4,4,4,2,3,2,4,2
3,3,4,3,3,4,2,4,3,3,3,4,3,3,4,4
4,4,4,4,4,3,4,3,4,3,3,3,4,3,5,4
4,3,3,3,3,4,3,2,4,4,3,3,3,3,3,3
4,4,3,4,4,3,2,2,4,3,4,3,4,4,5,4
4,5,4,3,3,4,4,3,5,4,5,4,4,4,5,5
4,3,5,4,4,4,4,4,5,4,4,3,3,3,5,4
3,3,4,3,3,3,3,3,3,2,4,3,2,2,3,3
5,5,4,4,5,4,4,2,5,3,4,5,4,3,5,5
5,4,4,4,4,4,4,3,4,3,4,4,4,3,5,5
4,4,4,4,4,4,4,2,4,4,4,4,4,4,5,3
5,3,4,4,4,4,4,2,4,2,4,3,4,3,5,3
3,3,3,3,4,5,3,2,4,2,3,3,4,2,4,3
3,3,2,4,4,4,3,2,4,3,3,2,3,5,3,3
4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,4
4,4,5,4,4,5,5,3,5,4,4,3,4,4,5,4
4,3,4,3,3,4,3,2,3,2,3,3,3,4,4,4
4,3,3,3,4,4,3,2,4,4,3,3,3,4,5,4
4,3,5,4,4,4,3,2,4,4,3,3,4,2,4,4
4,3,1,3,3,2,2,2,3,3,3,3,3,4,4,4
3,5,5,3,3,4,3,4,4,4,3,3,4,3,4,4
3,3,3,3,3,2,3,2,2,4,3,3,3,2,4,3
2,4,4,3,3,4,4,2,4,4,3,3,3,4,4,4
3,3,4,3,4,4,4,3,4,3,3,3,4,3,4,4
5,5,5,5,4,4,5,5,5,4,5,4,4,5,5,5
4,4,4,4,4,5,5,3,5,4,4,4,4,5,5,5
4,4,4,4,4,3,3,3,5,3,4,3,3,5,5,4
4,3,4,4,3,3,3,3,5,3,3,4,3,3,5,4
4,3,4,4,4,4,4,2,3,4,3,3,4,3,4,4
4,5,3,4,4,4,3,3,3,2,3,3,4,3,3,3
4,4,3,4,4,4,4,2,4,3,3,3,3,3,4,3
4,4,3,4,4,4,4,2,4,3,3,3,3,3,4,3
5,5,4,3,4,3,5,3,5,3,4,3,4,4,5,3
4,4,4,3,3,4,3,3,4,3,4,4,4,4,4,4
4,4,4,4,4,4,3,3,4,3,4,3,3,4,5,4
4,3,3,3,4,3,4,2,3,1,4,3,4,3,3,4
4,3,4,3,3,3,3,3,4,2,4,2,3,4,4,5
4,3,3,4,4,4,4,2,4,4,3,2,4,3,5,3
4,4,3,4,3,4,3,2,4,3,3,3,3,4,4,4
5,4,4,4,4,3,5,4,5,3,4,5,4,3,5,4
4,5,4,3,4,4,3,5,5,3,5,3,4,3,5,4
4,4,3,3,3,3,4,2,4,3,3,3,1,3,4,3
4,4,3,3,3,3,3,2,2,1,3,2,2,3,3,3
5,4,4,4,4,3,4,3,4,4,4,3,4,5,3,5
4,4,3,4,4,4,4,3,3,3,3,3,4,3,5,4
5,5,4,5,5,5,4,3,5,4,5,5,5,4,5,5
5,5,5,4,5,5,5,4,4,4,5,4,4,5,4,4
4,4,5,3,4,4,3,3,5,2,5,3,4,4,5,5
4,2,3,3,3,3,2,2,3,3,3,3,4,4,5,5
2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5
3,4,3,3,4,3,3,1,3,2,3,2,3,3,3,3
3,3,3,4,4,4,4,2,4,4,4,3,4,4,4,4
5,4,4,4,3,3,5,3,4,4,3,4,4,3,5,5
4,4,4,4,4,4,4,2,4,3,3,3,3,3,5,4
5,4,4,5,5,4,5,4,5,4,5,4,4,4,5,5
4,4,4,4,4,4,3,3,5,3,4,3,3,4,5,4
5,5,5,3,3,4,5,3,5,3,4,4,4,4,5,5
5,4,3,3,3,4,4,3,5,4,4,3,4,4,4,3
4,4,3,4,3,4,4,2,4,4,4,4,4,3,5,5
4,4,3,3,3,3,3,2,4,4,3,3,4,5,4,3
4,5,4,3,4,4,4,3,4,3,4,4,4,3,5,4
4,4,4,4,4,4,3,3,5,3,4,4,4,4,5,4
4,4,5,5,4,4,5,3,4,3,5,4,5,4,5,4
5,4,3,4,4,3,5,3,4,3,5,4,4,4,5,5
4,4,3,3,4,4,4,3,5,3,4,3,4,4,5,5
2,3,3,4,3,3,2,2,3,3,3,2,3,3,3,4
4,4,4,4,3,4,3,3,4,3,3,2,4,3,4,4
4,0,3,4,4,4,3,2,4,3,4,3,3,3,5,4
4,5,4,4,4,4,5,3,5,4,5,3,4,4,4,4
5,5,4,5,5,4,4,3,5,4,4,5,3,4,5,5
4,4,5,3,4,3,5,4,4,4,4,3,3,5,4,4
3,4,4,3,4,3,3,3,5,2,4,3,3,3,5,5
5,4,4,4,4,4,5,3,4,3,5,4,4,4,3,5
5,5,5,5,5,4,5,3,5,4,5,4,5,3,5,4
4,4,3,4,4,3,2,2,1,2,4,2,5,3,4,3
5,5,4,5,4,4,4,4,5,4,5,4,4,4,5,5
5,5,5,4,4,4,4,3,4,4,5,4,4,4,5,5
3,2,3,3,4,4,4,2,4,2,3,3,2,2,1,1
4,5,4,4,4,4,5,3,4,4,4,4,4,5,4,4
4,4,4,5,4,4,3,3,4,4,5,3,4,4,5,4
4,5,4,3,5,3,4,3,5,3,5,4,4,3,5,4
3,5,4,4,4,4,4,3,4,3,4,3,4,4,5,5
4,3,5,3,4,4,5,3,5,3,4,3,4,4,5,3
4,4,4,4,4,3,3,3,4,4,4,3,3,3,5,4
5,5,5,5,5,4,4,4,5,4,4,4,4,4,5,4
4,3,4,3,4,4,3,2,4,3,4,4,4,3,4,4
4,4,4,4,4,3,5,3,4,3,3,3,5,3,4,4
2,2,1,2,2,3,3,0,2,1,2,1,3,2,1,2
4,4,5,4,4,4,5,4,4,3,4,3,4,4,5,5
4,4,5,4,5,4,4,3,5,4,4,4,4,4,5,3
3,4,2,3,4,4,2,2,2,2,2,2,3,2,4,3
3,1,1,3,4,4,2,2,2,2,2,2,3,2,4,3
3,3,3,3,4,2,3,2,2,2,4,3,3,3,2,3
3,5,3,5,5,4,3,4,4,4,3,3,3,4,3,4
3,5,3,5,5,4,3,4,4,4,3,3,3,4,3,4
4,3,4,4,4,4,5,3,5,3,4,3,5,4,4,4
4,3,2,3,4,3,3,3,4,4,3,4,4,3,3,3
4,4,5,5,4,4,5,2,4,4,5,4,4,5,5,4
2,3,3,4,4,4,3,2,4,3,3,3,3,3,3,4
3,4,2,3,4,4,3,2,4,3,3,4,3,3,3,3
4,4,4,4,4,4,4,2,4,3,5,3,4,3,4,5
4,4,3,4,4,4,5,3,5,3,3,4,5,3,5,4
4,3,3,4,4,3,3,2,3,2,4,3,4,3,4,4
4,4,2,3,3,3,4,2,4,3,3,3,3,2,4,3
4,3,4,3,3,3,4,3,4,4,5,3,4,2,4,5
4,4,4,3,4,4,5,2,4,4,4,4,4,4,5,5
3,4,3,3,3,4,5,3,5,3,3,3,3,3,4,3
4,4,4,4,5,4,2,2,3,3,3,3,4,4,3,3
4,4,2,3,4,3,4,2,3,3,3,4,3,5,5,4
5,4,3,4,4,4,5,3,3,3,2,3,4,5,4,4
4,4,3,3,4,4,4,4,4,3,3,3,4,4,5,4
5,5,5,4,4,4,4,4,5,4,5,4,4,5,5,5
4,5,3,5,5,4,2,3,4,4,3,3,3,4,4,5
5,4,3,3,4,4,5,1,3,3,4,3,1,3,4,3
4,3,3,3,4,4,3,3,3,3,3,3,4,3,4,3
5,4,5,4,4,4,5,3,5,5,4,3,3,5,5,4
4,3,3,5,4,4,5,2,4,3,4,3,4,4,4,3
4,4,4,5,4,4,5,2,5,4,3,3,4,4,4,4
5,4,5,4,4,4,3,2,4,3,4,4,4,3,5,5
4,5,5,4,4,5,4,4,5,4,4,4,4,5,5,5
4,4,5,4,4,4,4,3,5,4,4,4,4,5,5,4
4,4,4,4,4,4,3,3,5,3,3,3,4,3,5,4
3,2,4,3,3,3,3,2,3,3,4,2,3,3,3,3
4,4,4,4,4,4,2,2,4,3,5,3,3,3,5,3
4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4
4,4,3,3,5,3,4,3,4,3,3,4,4,5,5,5
4,4,4,4,4,4,4,3,4,3,4,3,4,3,3,4
4,4,3,3,3,3,3,2,2,3,3,3,3,3,3,3
4,4,4,4,3,4,4,3,4,3,3,3,4,4,4,4
3,3,4,3,4,2,2,2,4,3,4,4,4,3,4,5
2,2,1,2,2,2,3,1,2,3,3,2,2,2,3,2
5,5,5,4,4,4,5,5,5,4,4,4,4,4,4,5
5,5,5,4,5,4,5,4,5,5,5,4,5,5,5,5
3,4,3,3,4,4,3,2,4,3,3,3,4,3,4,3
3,3,3,4,4,3,5,2,3,4,3,2,4,4,5,4
3,3,1,3,3,2,2,2,1,3,2,3,3,2,3,3
5,3,3,3,3,4,4,2,5,3,4,3,3,4,5,4
3,3,2,4,3,4,4,2,4,3,3,3,2,3,3,4
3,3,2,4,3,4,4,2,4,3,3,3,2,3,3,4
4,4,3,4,4,4,4,2,3,3,4,3,2,5,4,5
3,3,4,4,4,4,3,3,3,3,3,3,3,4,5,4
4,4,4,4,4,3,3,5,4,2,4,3,3,3,4,4
4,3,3,4,5,3,4,3,2,3,3,4,4,4,4,5
4,4,4,3,4,5,5,3,4,4,4,3,4,4,5,5
4,4,4,4,4,4,5,2,4,3,3,5,4,5,5,4
4,3,4,3,4,4,4,2,5,3,3,3,4,3,5,4
2,4,4,3,4,4,3,3,5,4,3,3,4,3,5,4
5,4,4,5,5,5,5,3,5,4,5,4,5,5,5,4
4,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3
3,3,2,3,3,3,3,1,1,2,2,2,3,3,4,3
5,4,5,4,4,4,4,3,4,4,4,3,4,5,5,5
4,4,3,4,4,4,4,3,4,4,3,4,4,3,5,5
5,5,5,5,5,5,5,4,5,4,5,4,5,4,5,4
4,3,3,4,5,4,5,3,4,3,3,3,3,4,4,5
4,5,5,4,4,4,4,3,5,3,5,4,4,3,5,5
4,5,4,4,4,4,4,4,5,3,3,2,4,2,5,3
4,4,5,4,3,3,5,3,4,4,4,3,5,4,5,5
5,3,4,4,3,4,4,3,5,3,3,4,4,4,3,4
4,4,3,4,4,4,3,3,5,3,5,3,4,3,4,5
4,4,3,3,3,4,4,3,3,3,4,3,3,3,4,3
5,4,3,5,4,4,4,2,4,3,4,4,4,4,4,4
4,4,3,4,3,4,4,3,4,4,4,3,3,4,4,3
4,4,3,4,3,4,5,2,5,3,4,3,4,3,5,5
4,4,2,3,3,3,2,1,3,3,3,3,3,3,4,4
4,3,4,4,5,3,4,3,5,5,4,3,3,3,5,4
4,4,4,3,4,4,3,2,3,3,2,1,4,3,4,4
2,3,2,3,4,3,4,2,4,2,3,3,4,3,4,4
4,4,5,4,4,4,5,2,4,4,4,3,4,5,5,5
3,4,4,3,4,3,4,2,3,3,3,2,4,5,4,4
4,4,5,4,4,3,5,2,4,3,4,4,4,3,4,3
4,4,4,4,4,4,4,3,5,3,4,4,4,2,4,4
4,4,4,4,4,4,5,3,5,3,5,4,4,5,5,5
4,5,5,4,4,4,4,5,5,3,5,4,4,4,5,5
4,4,5,4,5,3,4,3,4,4,4,4,4,4,5,5
4,3,3,4,4,3,5,2,5,3,3,2,2,3,4,3
4,4,4,5,5,4,4,3,3,3,4,3,4,4,5,4
5,4,4,4,4,3,3,4,3,3,4,3,4,3,5,5
4,2,2,3,3,3,2,2,3,3,3,2,2,5,4,3
4,3,4,4,4,4,3,2,4,3,4,3,4,4,4,4
4,3,3,3,5,4,3,3,4,3,3,3,4,4,4,3
4,4,3,3,4,4,3,3,4,3,5,3,4,3,4,4
2,3,3,3,3,3,2,2,5,2,3,3,3,3,4,3
3,3,3,4,4,3,5,2,3,2,3,3,3,3,3,4
4,3,4,4,5,3,2,2,4,4,4,3,4,5,4,4
4,4,5,4,4,4,4,3,5,3,4,4,4,4,5,5
3,3,4,3,3,4,3,2,4,3,4,3,3,5,3,4
3,3,4,3,3,4,3,2,4,3,4,3,3,5,3,4
3,3,4,3,3,4,3,2,4,3,4,3,3,5,3,4
3,3,4,3,3,4,3,2,4,3,4,3,3,5,3,4
5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5
4,4,4,3,3,3,4,2,5,3,4,3,3,2,4,3
5,4,4,4,4,5,4,3,4,3,3,3,4,3,5,3
3,4,3,4,4,4,2,2,4,2,3,3,4,3,4,4
3,5,4,4,4,4,4,2,4,3,3,3,2,3,5,5
5,5,4,4,4,5,5,3,5,4,5,4,5,3,5,5
4,4,3,3,3,3,4,4,3,3,2,2,3,3,3,2
4,4,4,4,4,4,5,4,5,5,5,3,4,5,5,5
4,4,3,3,5,4,3,2,4,3,4,4,4,4,5,3
3,4,3,3,4,3,2,2,4,4,3,3,3,3,5,4
4,4,4,3,4,5,4,3,3,3,2,4,3,3,4,3
4,4,3,4,4,4,4,2,4,3,3,1,4,3,4,2
3,5,4,3,4,3,2,3,3,2,3,3,4,5,4,3
4,4,3,4,4,3,3,3,4,3,4,3,3,3,3,4
4,3,4,4,5,5,3,3,4,3,4,3,4,4,5,5
4,3,4,4,5,5,2,3,4,3,4,3,4,4,5,5
3,3,4,3,3,4,4,3,4,2,3,3,2,3,4,4
3,3,4,3,3,4,4,3,4,2,3,3,2,3,4,4
4,3,4,3,4,3,4,3,4,3,3,3,4,4,4,5
5,5,5,4,5,5,5,3,4,3,5,3,4,2,5,5
5,4,5,4,4,4,4,4,5,4,5,3,5,5,5,5
5,5,4,4,4,4,3,3,5,4,5,4,5,5,5,5
4,5,3,3,4,3,5,3,4,3,3,4,3,4,5,4
4,4,4,4,4,4,5,3,5,4,4,4,4,4,5,5
5,5,4,4,4,4,3,4,3,3,3,4,4,3,5,3
4,3,3,3,4,4,4,2,5,3,4,2,3,3,4,4
4,4,5,4,4,4,4,2,5,5,4,4,4,4,5,5
5,5,4,4,4,4,3,3,4,3,4,3,4,4,5,4
4,3,4,3,3,4,3,2,3,3,4,3,5,3,3,3
4,4,4,4,4,4,3,3,3,2,4,3,3,3,3,4
4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,5
4,4,4,4,4,5,4,2,4,4,4,4,4,4,5,5
3,5,4,3,3,4,3,3,4,4,3,3,4,4,5,4
5,5,5,5,5,3,3,3,4,4,5,3,4,5,5,5
4,4,5,4,4,5,4,3,5,3,4,3,4,4,4,4
4,4,2,4,5,4,5,2,4,3,4,4,3,3,5,5
4,5,4,3,5,3,4,3,5,3,3,4,3,3,5,5
4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5
5,4,5,4,4,5,4,3,5,4,4,3,5,5,5,5
4,5,4,4,4,4,4,3,4,3,4,3,3,4,5,4
4,5,4,3,5,5,4,3,5,3,3,3,4,4,5,3
4,4,4,4,4,4,5,3,5,4,4,4,4,4,5,5
1,2,2,2,4,1,2,2,3,2,3,1,2,2,3,3
5,4,4,3,4,4,3,3,4,3,5,5,4,5,5,4
3,2,2,3,4,3,3,2,4,2,3,3,3,2,4,3
4,4,3,3,4,4,2,2,4,2,4,3,4,5,5,4
2,3,2,4,4,4,5,3,2,3,5,3,3,2,4,3
4,4,4,4,5,4,3,3,4,4,3,3,4,3,4,3
4,4,4,4,4,4,4,2,3,4,3,4,4,3,4,2
4,3,3,4,4,4,5,3,4,4,5,4,4,5,5,4
3,4,4,4,4,3,4,3,5,4,4,4,4,4,5,5
4,4,3,4,4,3,3,3,5,4,4,2,4,3,5,3
4,4,3,3,2,4,2,3,3,2,4,3,3,4,4,4
4,3,4,4,5,4,2,3,4,1,4,3,4,3,4,3
4,4,4,3,5,3,5,3,5,4,3,4,4,3,5,4
4,4,4,4,4,4,5,2,5,4,4,4,3,3,4,5
5,5,3,4,5,3,4,3,5,4,5,3,4,3,4,4
3,4,3,4,4,4,4,2,4,3,2,3,4,4,5,5
4,3,3,3,3,4,4,2,4,3,4,3,4,3,5,3
4,5,4,4,4,4,2,3,5,3,4,4,4,5,5,5
4,3,4,4,3,4,3,3,4,4,5,3,3,4,4,5
5,2,1,2,2,1,2,2,2,1,2,2,3,2,3,2
3,4,2,3,4,4,4,2,2,2,2,4,3,2,4,3
5,4,3,4,4,4,5,4,4,3,4,3,4,5,4,3
4,3,4,3,4,4,3,3,4,2,4,4,3,3,3,4
4,3,2,3,4,3,4,2,3,3,3,3,3,3,3,3
4,3,4,3,4,4,4,3,4,3,3,3,4,5,4,3
5,4,5,4,5,3,5,2,5,4,5,4,4,4,5,5
4,3,3,3,4,3,2,3,4,3,3,4,3,4,4,3
5,4,5,4,4,4,3,4,5,5,5,4,4,5,5,5
3,4,4,4,4,3,3,2,4,2,3,3,4,3,4,3
4,3,2,3,3,3,2,1,1,3,3,2,2,2,3,3
1,3,1,2,2,2,1,1,2,1,4,1,2,2,3,3
5,4,4,4,5,4,5,4,5,4,5,4,4,4,5,4
4,5,4,4,4,4,5,3,4,4,4,3,3,5,5,3
4,4,4,3,3,4,4,3,4,3,3,4,4,4,3,3
3,4,3,3,4,4,3,2,2,3,2,2,2,2,3,3
4,3,3,4,4,4,4,2,4,2,4,3,3,5,4,5
4,3,4,3,4,4,5,3,4,3,4,4,4,5,3,5
3,4,3,4,4,4,2,2,4,3,3,2,3,3,3,2
5,5,3,4,4,3,4,2,5,3,4,4,3,2,5,3
4,3,4,4,4,4,3,3,4,2,3,3,4,3,4,4
5,5,5,5,5,4,4,3,4,3,4,4,3,3,5,5
3,3,4,4,4,4,3,3,3,2,3,3,2,2,4,4
4,4,3,4,4,4,5,3,5,4,3,3,4,5,5,5
4,3,2,3,3,1,2,2,2,3,2,2,2,2,3,2
3,4,3,3,4,3,3,2,3,2,3,3,3,4,5,3
4,2,4,4,4,2,4,2,4,3,4,3,3,4,5,4
3,3,2,3,3,2,3,3,2,3,3,2,5,4,3,2
4,4,4,5,4,3,4,5,5,4,4,4,4,5,5,4
4,3,3,3,4,3,3,2,4,2,4,3,3,4,4,4
5,3,3,3,4,3,3,3,5,3,5,3,4,4,5,4
2,4,4,3,4,3,3,2,4,3,4,3,3,3,4,5
4,4,4,3,4,3,5,3,5,4,4,3,4,4,4,5
4,4,5,4,4,4,4,3,4,3,4,3,4,3,5,3
3,4,1,3,4,4,1,2,2,2,2,3,3,3,5,5
4,4,4,4,3,4,5,2,4,3,3,3,4,4,4,4
4,4,4,4,4,4,3,3,5,4,4,3,3,3,4,4
3,3,3,3,3,4,3,2,3,2,3,3,3,2,3,4
3,3,3,3,3,4,3,2,3,2,3,3,3,2,3,4
3,4,3,3,4,4,3,3,4,4,4,3,4,3,5,3
4,5,4,3,4,4,2,4,4,3,2,3,3,3,5,4
4,4,4,3,4,4,4,2,4,3,4,3,3,3,4,4
5,5,5,4,4,4,4,4,5,4,5,4,4,4,4,4
4,5,3,4,4,4,3,2,4,3,4,4,4,4,4,4
3,3,2,3,4,4,4,2,5,3,4,3,3,4,4,3
4,5,5,4,4,4,4,4,5,4,4,4,3,3,5,4
3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3
5,5,4,4,5,3,3,4,5,4,3,3,4,4,4,5
3,5,3,4,4,3,4,2,4,3,4,3,4,3,5,5
5,4,5,4,4,4,3,4,5,5,5,4,4,5,5,5
4,4,3,3,3,4,4,2,2,2,2,2,2,2,2,2
5,5,5,5,5,4,5,2,5,4,4,4,5,5,5,5
4,4,4,3,4,4,5,2,4,3,4,3,4,4,5,4
3,4,5,4,4,4,4,2,4,3,4,5,5,4,5,5
5,5,4,4,4,4,4,4,4,2,5,4,4,4,5,4
5,4,3,3,3,5,4,2,4,3,3,4,3,4,4,2
5,4,3,3,3,5,4,2,4,3,3,4,3,4,4,2
4,4,5,4,4,4,4,5,4,4,4,3,4,3,3,3
5,5,4,5,4,4,4,4,5,3,3,4,4,4,5,4
3,5,3,4,4,4,4,3,4,4,4,4,3,4,5,4
3,2,3,3,3,4,3,3,5,2,4,3,4,4,4,4
3,4,3,4,4,3,4,3,3,4,2,3,4,3,5,5
4,4,4,3,4,4,4,3,4,4,4,3,4,5,3,5
4,4,3,4,3,4,4,3,5,4,4,4,4,5,5,5
5,4,5,4,5,4,4,2,4,4,4,4,4,5,5,5
1,3,2,3,1,3,1,2,2,2,3,1,2,3,1,3
1,3,2,3,1,3,1,2,2,2,3,1,2,3,1,3
4,3,4,4,3,4,4,2,4,3,3,3,4,5,5,3
4,3,4,4,3,4,4,2,4,3,3,3,4,5,5,3
4,4,4,3,3,3,3,2,3,3,3,3,2,3,3,3
1,3,1,3,2,2,3,1,2,1,1,2,1,2,3,3
4,3,4,3,4,3,2,2,4,3,4,3,2,2,4,4
4,3,4,3,4,3,2,2,4,3,4,3,2,2,4,4
5,4,4,3,4,4,3,3,4,4,4,3,4,3,4,4
2,2,2,4,3,2,4,2,4,3,3,2,3,3,3,5
4,4,4,4,3,4,2,3,5,3,3,2,3,3,4,4
4,5,5,4,5,3,4,3,4,3,4,3,4,3,5,5
4,4,4,4,4,4,4,3,5,3,4,4,4,3,4,4
4,4,4,4,4,4,4,3,5,3,4,4,4,3,4,4
5,3,3,3,4,4,3,2,4,3,4,3,3,3,4,5
5,3,3,3,4,4,3,2,4,3,4,3,3,3,4,5
4,3,3,3,3,1,3,3,4,4,2,2,4,1,3,3
4,4,5,4,4,4,5,2,4,3,2,4,3,3,5,5
2,5,3,3,3,3,2,2,3,2,3,3,2,2,3,2
4,4,4,4,4,4,4,3,5,4,3,3,3,3,5,4
4,5,5,3,4,4,4,3,5,4,5,3,4,4,5,5
4,4,3,4,4,4,4,2,5,3,4,4,4,3,5,4
4,4,3,3,3,4,3,2,4,3,3,3,3,3,3,3
